date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,wd,lw_in,t_avg,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,95.723060993708,,,1.2427311461449395,0.8046792768508999,,,0.8046792768508999,,,,,0.3,0.2,0.0,,,,False,
2014-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,96.206797077587,,,1.2648632229033936,0.7905993169005097,,,0.7905993169005097,,,,,0.2,0.1,0.0,,,,False,
2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,96.72992298235096,,,1.3017146269873394,0.7682175334499994,,,0.7682175334499994,,,,,2.2,1.3000001,0.90000004,,,,False,
2014-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,97.29239261897841,,,1.3231316687025874,0.7557826810846134,,,0.7557826810846134,,,,,0.2,0.1,0.0,,,,False,
2014-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,97.89415345922272,,,1.319951692461751,0.7576034833024601,,,0.7576034833024601,,,,,0.1,0.0,0.0,,,,False,
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,98.53514609524152,,,1.3180923895560617,0.7586721597996661,,,0.7586721597996661,,,,,0.2,0.1,0.0,,,,False,
2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,99.21530378146718,,,1.3158362910728578,0.7599729592384605,,,0.7599729592384605,,,,,0.5,0.3,0.0,,,,False,
2014-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,99.93455196106315,,,1.315302109306949,0.7602816059702922,,,0.7602816059702922,,,,,0.2,0.1,0.0,,,,False,
2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,100.69280777937445,,,1.3236058184648327,0.7555119402238932,,2.47527820300573,0.7555119402238932,,,,0.08715697280917402,1.1,0.6,0.0,,0.1452616213486234,0.08715697280917402,True,0.08715697280917402
2014-01-10,,,,,,,,,,,,,,,,,,-2.3964,-0.5498514,,,,,,,101.4899795868236,,,1.3295362243715172,0.7521419737718755,,3.974012165448503,0.7521419737718755,,,,0.13992886529955847,1.3000001,0.8,0.0,,0.1749110816244481,0.13992886529955847,True,0.13992886529955847
