date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-01,91.18341666666667,0.4755037689312598,-2.1051850416666658,9.521089583333334,30.836054242583327,0.03975795106041666,-5.144676425154292,0.4357458178708431,0.8873712743541674,,2.261596458333333,265.45041666666674,-3.7108443749999993,-2.786720191041665,286.27562499999993,,,-9.0686,0.5045,0,0,8,0.0,48,0.25359033152403493,95.49384813635059,,3.674091465395832,1.1871315748302729,0.8423666097357172,,,0.8423666097357172,,-2.4991316338228833,,,1.2,0.7,0.0,,,,False,
2004-01-02,97.7691875,0.5370681891489592,,6.822622291666668,22.855547976750003,0.011551976670833332,-2.5149010645468124,0.5255162124781261,-7.513160032187497,,2.578008604166666,267.64708333333346,-2.036057291666668,-1.7620867486666665,291.9660416666666,,,-6.8523,1.7223,0,0,27,1.4800000000000002,48,0.1235824591444974,95.97734339847284,,-5.751073283520831,1.1020070630395633,0.90743520031695,,,0.90743520031695,,,,,1.3000001,0.8,0.7,,,,False,
2004-01-03,78.48918749999999,0.27700380057988344,24.33832583333333,15.38514875,77.32309291893745,0.060173622320833335,-13.754861098724582,0.21683017825905013,-8.734988278124998,,3.3617122499999987,193.753125,-10.459158333333333,-33.94050358612501,263.5675,,,-12.571,-7.3163,0,0,1,0.0,48,0.37205453095336055,96.50021259891709,,25.205515308000013,1.0673351682358103,0.936912817791708,,,0.936912817791708,,25.9771510978988,,,1.6,1.0,0.0,,,,False,
2004-01-04,79.36177083333331,0.20703516321264567,37.831880208333345,8.2114175,45.55887371314585,0.04363671639166667,-17.168115285214,0.16339844682097898,9.506252552500003,,3.131058958333334,228.56125,-14.01820833333334,-23.58725278083334,255.78104166666665,,,-15.456,-12.193,0,0,9,0.5,48,0.281974334738089,97.06241018533515,,33.09350533333334,1.0017913964013263,0.998211806961248,,,0.998211806961248,,37.89965210239396,,,0.90000004,0.6,0.4,,,,False,
2004-01-05,74.76947916666667,0.13078129354918847,13.139684666666668,34.16582458333333,78.73586879191666,0.03254214514375,-23.352638188090896,0.0982391484054385,-29.753009719166666,,4.356791666666668,159.94208333333333,-19.53085416666666,-34.96305712339583,232.57062499999992,,,-20.819000000000006,-15.282,0,0,3,0.09,48,0.3235780788343135,97.66388420135895,,5.2100474042291625,0.9993355879346446,1.0006648538022431,,,1.0006648538022431,,13.130954501639168,,,1.0,0.6,0.0,,,,False,
2004-01-06,77.73964583333336,0.19272387016415493,-0.2976312500000046,24.99279270833333,70.85858270710416,0.04406876454583333,-18.492250085856146,0.1486551056183216,-25.34029558,,5.281875,171.20833333333334,-15.120729166666665,-13.516159628395831,241.06520833333332,,,-20.14,-11.636,0,0,2,0.0,48,0.26055045426227447,98.30457584496747,,-11.824135951604164,0.9677765783005979,1.0332963438276073,,,1.0332963438276073,,-0.28804055272033435,,,0.90000004,0.5,0.0,,,,False,
2004-01-07,79.3883125,0.2568037838141977,11.276143166666666,23.12359541666667,82.89194120160415,0.0580070159875,-14.884089025655436,0.19879676782669767,-7.741200583749999,,1.7785000000000002,185.11,-11.670004166666667,-7.741725044854168,251.60604166666667,,,-16.437,-6.1056,0,0,4,0.0,48,0.2855056414884041,98.98441900903444,,0.0005244611041685944,0.9395113102659304,1.0643831416110874,,,1.0643831416110874,,10.594064041261216,,,0.7,0.4,0.0,,,,False,
2004-01-08,82.64987500000002,0.2813822294902942,3.980226041666669,11.712336250000007,44.705726083729175,0.05204259722083332,-13.003148512104865,0.2293396322694609,-5.258253484166667,,1.9980416666666665,221.38104166666676,-10.313187499999996,-5.811570396166668,259.22604166666673,,,-13.171,-7.4464,0,0,7,0.0,48,0.2811249501174461,99.70333980640685,,0.5533169120000014,0.9128502426572008,1.0954699393945673,,,1.0954699393945673,,3.633350307965928,,,0.7,0.4,0.0,,,,False,
2004-01-09,83.07918749999997,0.3185477782801972,9.516467812500002,12.737474166666665,54.906966682083336,0.05575365886666666,-11.300610747182304,0.2627941194135304,16.842311218749995,,1.183625,245.29208333333332,-8.698181250000003,3.8636221573124985,270.4075000000001,,,-10.552,-6.6474,0,0,11,0.0,48,0.23501484835937417,100.46125608192827,,12.978689061437494,0.9170667228162184,1.0904331987198292,,,1.0904331987198292,,8.727235949595402,,,0.4,0.3,0.0,,,,False,
2004-01-10,90.5853125,0.4256765504886773,,7.1572381249999975,35.104069564729144,0.03877986917708333,-6.4135847848017935,0.3868966813115941,16.49605446145834,,2.7093333333333334,271.48375,-4.9295874999999985,5.762675987479168,283.24645833333335,,,-7.2305,-3.024,0,0,9,0.0,48,0.26208900422900305,101.2580769138636,,10.73337847397917,0.9506294545612286,1.0519345841872307,,,1.0519345841872307,,,,,0.8,0.5,0.0,,,,False,
2004-01-11,94.86629166666664,0.5155217964770794,,9.424573541666666,49.58101078010416,0.030883141379166663,-3.5331977177417166,0.484638655097913,14.003533187958329,,2.8437083333333337,263.90979166666665,-2.6317664583333333,5.2252569356250005,290.40916666666675,,,-7.5883,2.3633,0,0,11,0.03,48,0.3104977709985607,102.093702107212,,8.778276252333328,0.9867421622510488,1.0134359696546322,,,1.0134359696546322,,,,,1.3000001,0.8,0.0,,,,False,
2004-01-12,88.5675,0.4801052754296769,5.5644077083333325,9.863115,54.90556416475,0.059599768366666674,-5.371189948703769,0.42050550706301015,13.909865650416675,,4.355416666666666,257.3304166666666,-3.5456933333333343,-0.659753883124999,288.7068749999999,,,-8.7668,0.32205,0,0,0,0.0,48,0.3311752953838175,102.96802168141429,,14.569619533541674,1.046192002881375,0.9558474899883052,,,0.9558474899883052,,5.821438845229813,,,1.2,0.7,0.0,,,,False,
2004-01-13,77.01010416666666,0.3768535714722999,,16.250327916666667,89.91436798606249,0.08314891261041668,-10.346117521278881,0.2937046588618831,12.24841572729167,,2.446708333333333,217.780625,-6.675558333333335,-13.004571163833331,278.688125,,,-9.6562,-1.4562,0,0,5,0.0,48,0.49991358914778405,103.8809153549582,,25.252986891125,1.1138096158341644,0.8978195068383127,,,0.8978195068383127,,,,,0.90000004,0.6,0.0,,,,False,
2004-01-14,82.90293750000002,0.4268165932378213,13.938225000000005,13.053572500000001,71.00194186774999,0.06811795750416665,-7.8899973642398225,0.3586986357336544,10.72935890060416,,3.838666666666665,232.8606250000001,-5.216385833333334,-8.77739907625,279.9510416666667,,,-11.372,1.1005,0,0,8,0.25,48,0.5364507995400405,104.8322520293785,,19.50675797685416,1.1629665251335388,0.8598699776721208,,,0.8598699776721208,,16.209689094779424,,,1.0,0.6,0.0,,,,False,
2004-01-15,85.2035625,0.3481363926205364,7.666513854166669,8.413892916666667,46.39664291795835,0.061134948675,-10.381470087471316,0.28700144394553634,5.840267520520826,,2.7765416666666667,239.018125,-8.003881250000001,-1.7430498461666661,271.10520833333334,,,-13.702,-2.6808,0,0,5,0.0,48,0.3861001335720742,105.82188927512081,,7.583317366687495,1.2610919752313507,0.7929635741410116,,,0.7929635741410116,,9.66817909948956,,,0.8,0.5,0.0,,,,False,
2004-01-16,86.35652083333336,0.4395217484717812,9.992881104166667,11.911659583333332,72.88383159074999,0.06198155991041668,-6.6728864475751655,0.3775401885613645,27.94196768041667,,3.9990416666666673,251.53187500000007,-4.5407166666666665,3.3029678627708345,284.69458333333336,,,-7.73,-2.1992,0,0,0,0.0,48,0.33157901756946295,106.84967282170696,,24.63899981764584,1.3390955553791128,0.7467726974247845,,,0.7467726974247845,,13.381422672021506,,,1.2,0.8,0.0,,,,False,
2004-01-17,81.28147916666667,0.4709767846352903,5.976549479166668,9.6283975,53.47618927960417,0.08384561746249998,-7.056818968626664,0.3871311671727904,3.6908608877291686,,3.7265416666666655,246.5504166666666,-3.90382375,-8.521725068166669,286.80354166666666,,,-14.427,-0.02808,0,0,8,0.36000000000000004,48,0.1825422017714775,107.91543605458568,,12.212585955895836,1.4045773779959492,0.7119579281753775,,,0.7119579281753775,,8.394526196910974,,,1.1,0.7,0.0,,,,False,
2004-01-18,66.68535416666666,0.14419016474132004,,18.861921458333327,97.14574896256251,0.04889262727500002,-23.547954289578982,0.0952975374663201,1.7001659120833386,,3.9884166666666663,165.1625,-18.391083333333327,-39.3279258625,240.14374999999995,,,-20.884,-15.111,0,0,8,0.3200000000000001,48,0.3498108709820547,109.01899952100187,,41.028091774583345,1.4426935289315608,0.6931479069851976,,,0.6931479069851976,,,,,1.1,0.7,0.0,,,,False,
2004-01-19,71.863,0.16713658720008162,27.46625125,11.048196041666666,64.52434319685418,0.04869800466250001,-21.23315757873807,0.11843858253758165,20.420642685229147,,1.4939583333333335,216.96625,-16.925062500000006,-3.6116183009791674,249.233125,,,-20.979,-12.92,0,0,1,0.0,48,0.23592431859927537,110.16017044714287,,24.03226098620832,1.4921856897054675,0.6701578810860886,,,0.6701578810860886,,40.984747065104905,,,0.4,0.2,0.0,,,,False,
2004-01-20,86.51614583333333,0.2679482739891627,15.121183645833336,26.391828125000004,72.53693255885416,0.03702884751875,-13.150854433800145,0.2309194264704127,22.01077327562501,,2.57825,237.67958333333328,-11.083420833333333,2.7957526314791665,261.36375000000004,,,-14.880999999999998,-7.4067,0,0,2,0.07,48,0.2506665738511007,111.33874226874944,,19.215020644145838,1.5605102727856237,0.6408160314221627,,,0.6408160314221627,,23.596762416000892,,,0.7,0.4,0.0,,,,False,
2004-01-21,76.28552083333334,0.3348979254272148,16.6858875,18.492537291666665,75.81135592304167,0.06644512793541668,-12.985525238826348,0.268452797491798,15.917095850604166,,6.6570416666875,226.17979166666657,-9.189833333333334,-14.715613663875002,267.01291666666674,,,-22.062,-1.1118,0,0,4,0.4,48,0.47288485364752525,112.55449417729136,,30.63270951447917,1.4505403943348805,0.6893982435136059,,,0.6893982435136059,,24.20355383407745,,,1.4,0.90000004,0.0,,,,False,
2004-01-22,65.84995833333333,0.1342151880331029,42.290084375000006,20.258931666666665,102.873834286375,0.046422735737499984,-24.871965633152648,0.08779245229560291,24.76233616124999,,3.401375,182.27104166666663,-19.580729166666668,-16.670644902249993,238.568125,,,-23.631,-14.936,0,0,6,0.12,48,0.32188558077420226,113.80719068371549,,41.432981063499994,1.425098503714845,0.7017058802554851,,,0.7017058802554851,,60.267535964787044,,,0.6,0.4,0.0,,,,False,
2004-01-23,89.28527083333336,0.22306398252955295,,26.51669729166667,39.40839816295833,0.02359987864166667,-14.778960425255358,0.19946410388788635,10.151677348500003,,3.239375000000001,250.7120833333333,-13.099291666666673,2.1250511044791645,253.15666666666664,,,-15.059,-12.334,0,0,16,0.5,48,0.15397550049274134,115.0965812016796,,8.026626244020841,1.3664100079256722,0.7318447568443134,,,0.7318447568443134,,,,,0.7,0.4,1.5,,,,False,
2004-01-24,83.79389583333334,0.2127078674377264,,69.27060125000001,117.00863987929165,0.03868707146875,-16.4923685222052,0.17402079596897635,5.0912719375,,1.7201249999999997,200.82125,-13.945854166666665,-3.845836383708335,242.14708333333337,,,-20.117,-10.618,0,0,20,0.0,48,0.1664013502121721,116.42239965207749,,8.937108321208337,1.3768161704107371,0.7263133753736173,,,0.7263133753736173,,,,,0.7,0.5,0.0,,,,False,
2004-01-25,78.18260416666666,0.2844726863659208,,29.734166875,59.274661488791686,0.06154217485416667,-13.446183294370416,0.22293051151175414,20.862745704041668,,5.385583333333333,253.53583333333333,-10.121972916666666,0.4438927295416661,261.95729166666666,,,-12.054,-8.4175,0,0,4,0.0,48,0.4291755193458686,117.7843640905556,,20.418852974500002,1.3605328815445072,0.7350061241186453,,,0.7350061241186453,,,,,1.3000001,0.8,0.3,,,,False,
2004-01-26,96.12718749999998,0.3208615729774881,,47.36463458333333,59.159179673999994,0.012321431585416662,-9.261241103443068,0.3085401413920715,2.226281706687499,,2.8957499999999987,258.3439583333333,-8.543902083333334,0.9711786542500004,267.8918750000001,,,-9.6036,-7.3418,0,0,44,4.969999999999998,48,0.18900543377831355,119.1821763596103,,1.2551030524374984,1.3024383610318502,0.7677906532235085,,,0.7677906532235085,,,,,1.2,0.8,9.1,,,,False,
2004-01-27,87.81822916666665,0.1938759358203876,-16.62344354166667,92.46117208333332,116.54392514314584,0.022434127337500002,-17.126716126863954,0.1714418084828877,-24.12988703187501,,4.046291666666668,192.49145833333333,-15.2225125,-6.353917176229168,239.34437500000007,,,-21.408,-9.1086,0,0,4,0.21,48,0.2696893964848741,120.61552176673672,,-17.775969855645844,1.2630571638136865,0.7917298034085732,,,0.7917298034085732,,-20.996359452554444,,,1.1,0.7,0.0,,,,False,
